"Event.Index","UTC.Timestamp","UTC.Date.and.Time","Local.Timestamp","Local.Timezone","Local.Date.and.Time","Experiment.ID","Experiment.Version","Tree.Node.Key","Repeat.Key","Schedule.ID","Participant.Private.ID","Participant.Starting.Group","Participant.Status","Participant.Completion.Code","Participant.External.Session.ID","Participant.Device.Type","Participant.Device","Participant.OS","Participant.Browser","Participant.Monitor.Size","Participant.Viewport.Size","Checkpoint","Task.Name","Task.Version","counterbalance.nnh1","counterbalance.yw81","randomiser.rl3q","counterbalance.oqb7","counterbalance.3hrr","Page","Page.ID","Page.Counter","Question","Response.Type","Key","Response","Tag","OptionOrder","Object.Name","Object.Number","Object.ID"
"1",1699470792475,"08/11/2023, 19:13:12",1699481592475,3.5,"09/11/2023, 01:13:12",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","","",NA,"","5","","BEGIN",NA,"","",NA,""
"82",1699471447097,"08/11/2023, 19:24:07",1699482247097,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;"">چند سال دارید؟</p>  ","response","value","26",NA,"","Text Input",2,"object-13"
"83",1699471447134,"08/11/2023, 19:24:07",1699482247134,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> جنسیت شما چیست؟</p>  ","response","value","زن",NA,"زن|مرد|ترجیح می‌دهم نگویم","Multiple Choice",3,"object-117"
"84",1699471447135,"08/11/2023, 19:24:07",1699482247135,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> جنسیت شما چیست؟</p>  ","response","quantised","1",NA,"زن|مرد|ترجیح می‌دهم نگویم","Multiple Choice",3,"object-117"
"85",1699471447139,"08/11/2023, 19:24:07",1699482247139,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> کدام شهر/روستا به دنیا آمدید؟</p>  ","response","value","ارومیه",NA,"","Text Input",4,"object-15"
"86",1699471447140,"08/11/2023, 19:24:07",1699482247140,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> به چه زبان(هایی) صحبت می‌کنید؟ (زبان‌هایی را که به صورت روزمره استفاده می‌کنید و مسلط هستید بنویسید.)  </p>","response","ترکی","0",NA,"ترکی|فارسی|هر دو","Multiple Choice",5,"object-120"
"87",1699471447142,"08/11/2023, 19:24:07",1699482247142,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> به چه زبان(هایی) صحبت می‌کنید؟ (زبان‌هایی را که به صورت روزمره استفاده می‌کنید و مسلط هستید بنویسید.)  </p>","response","فارسی","0",NA,"ترکی|فارسی|هر دو","Multiple Choice",5,"object-120"
"88",1699471447145,"08/11/2023, 19:24:07",1699482247145,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> به چه زبان(هایی) صحبت می‌کنید؟ (زبان‌هایی را که به صورت روزمره استفاده می‌کنید و مسلط هستید بنویسید.)  </p>","response","هر دو","1",NA,"ترکی|فارسی|هر دو","Multiple Choice",5,"object-120"
"89",1699471447146,"08/11/2023, 19:24:07",1699482247146,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;""> به چه زبان(هایی) صحبت می‌کنید؟ (زبان‌هایی را که به صورت روزمره استفاده می‌کنید و مسلط هستید بنویسید.)  </p>","response","__other","0",NA,"ترکی|فارسی|هر دو","Multiple Choice",5,"object-120"
"90",1699471447148,"08/11/2023, 19:24:07",1699482247148,3.5,"09/11/2023, 01:24:07",140886,2,"questionnaire-e274",NA,32821330,9710186,NA,"complete","ucqhdo",NA,"computer","Desktop or Laptop","Windows 7","Chrome 76.0.3809.132","1366x768","1366x657",NA,"Questionnaire",4,"spreadsheet2","spreadsheet2",1,"","","Page 1","2dxwtu",1,"<p style=""text-align: right;"">  (می‌توانید نام شهرتان را بنویسید)به کدام لهجه ترکی صحبت می‌کنید؟</p>  ","response","value","ارومیه",NA,"","Text Input",6,"object-16"
